tracker,data_type,platform,transmission_type,count
<indicators>,os,android,anonymously,7
rayjump,timezone,android,anonymously,11
ioam,app_id,ios,pseudonymously,39
ioam,app_version,ios,pseudonymously,39
ioam,other_uuids,ios,pseudonymously,29
ioam,model,ios,pseudonymously,39
ioam,os,ios,pseudonymously,39
ioam,language,ios,pseudonymously,39
ioam,carrier,ios,pseudonymously,39
ioam,screen_size,ios,pseudonymously,39
ioam,country,ios,pseudonymously,37
yandex,idfa,android,pseudonymously,37
yandex,other_uuids,android,pseudonymously,40
yandex,os,android,pseudonymously,40
yandex,model,android,pseudonymously,40
yandex,screen_size,android,pseudonymously,40
yandex,language,android,pseudonymously,40
yandex,app_id,android,pseudonymously,40
yandex,rooted,android,pseudonymously,37
yandex,app_version,android,pseudonymously,37
chartboost,app_id,ios,pseudonymously,15
chartboost,app_version,ios,pseudonymously,15
chartboost,other_uuids,ios,pseudonymously,15
chartboost,model,ios,pseudonymously,15
chartboost,os,ios,pseudonymously,15
chartboost,language,ios,pseudonymously,12
chartboost,timezone,ios,pseudonymously,3
chartboost,orientation,ios,pseudonymously,15
chartboost,rooted,ios,pseudonymously,15
chartboost,screen_size,ios,pseudonymously,15
chartboost,network_connection_type,ios,pseudonymously,3
chartboost,country,ios,pseudonymously,12
chartboost,carrier,ios,pseudonymously,7
chartboost,user_agent,ios,pseudonymously,12
firebase,idfa,ios,pseudonymously,1
bugsnag,timezone,ios,anonymously,1
bugsnag,disk_usage,ios,anonymously,1
bugsnag,in_foreground,android,anonymously,4
bugsnag,viewed_page,android,anonymously,4
bugsnag,orientation,android,anonymously,6
bugsnag,timezone,android,anonymously,4
bugsnag,is_charging,android,anonymously,4
bugsnag,disk_usage,android,anonymously,4
bugsnag,network_connection_type,android,anonymously,4
bugsnag,emulator,android,anonymously,4
bugsnag,screen_size,android,anonymously,4
bugsnag,battery_percentage,android,anonymously,4
bugsnag,user_agent,android,anonymously,3
<indicators>,contacts,ios,anonymously,1
<indicators>,bssid,ios,pseudonymously,3
rayjump,idfa,android,pseudonymously,3
rayjump,country,android,pseudonymously,2
<indicators>,hashed_idfa,ios,pseudonymously,1
bugsnag,user_agent,ios,anonymously,1
bugsnag,orientation,ios,anonymously,1
<indicators>,os,ios,anonymously,1
