name,id,count
Maiden Marketing Pte Ltd,895,21
IPSOS MORI UK LTD,896,21
Fido S.r.l,897,21
digidip GmbH,899,21
Advisible AB,900,21
STUDIO GONG GmbH & Co. Studiobetriebs KG,901,21
adQuery,902,21
Placense Ltd,903,21
"CAKE Software, Inc.",905,21
Zoomd Ltd.,908,21
MobileFuse LLC,909,21
"Insticator, Inc.",910,21
Opti Digital SAS,915,21
SPORTORITY UK LTD,918,21
Livewrapped AB,919,21
Viewdeos 2015 LTD,924,21
ZAM Network LLC dba Fanbyte,926,21
"Parrable, Inc.",928,21
IQM CORPORATION,930,21
Traffective GmbH,931,21
Brid Video DOO,934,21
INIS sp. zo.o.,935,21
Digital Squad,936,21
Terminus Software Inc.,940,21
ADSOCY,941,21
JS Web Production,942,21
"Marfeel Solutions, SL (Compass)",943,21
AudienceRun corp,944,21
Powerspace,947,21
ProSiebenSat.1 Digital Data GmbH,952,21
Konodrac S.L.,955,21
Evolution Technologies Inc.,957,21
Clipr,958,21
adWMG,959,21
Tangoo Srl,962,21
CIBLECLIC,963,21
Solution coupons,964,21
Nexx360,965,21
"WEMASS MEDIA AUDIENCE SAFE SOLUTIONS, S.L. ",968,21
Frameplay Corporation,970,21
Kargo Global Inc.,972,21
Cluep LLC,973,21
SpearAd GmbH,974,21
Playrcart Limited,975,21
Pelmorex Corp.,976,21
ARKHEUS,978,21
Mediascore mbH,979,21
"WAM Group Ltd, t/a Admix",980,21
Pulse Innovations Limited,984,21
BYTEDANCE PTE. LTD.,986,21
Media16 ltd,987,21
Habu,988,21
SPEAKOL DMCC,989,21
QuantumCast digital GmbH,990,21
Rapid Performance GmbH,992,21
QUARTER MEDIA GmbH,993,21
Leadoo Marketing Technologies Ltd,994,21
Hashtag Labs Inc.,995,21
"CMI Marketing, Inc. d/b/a CafeMedia",996,21
Luna Media Group LLC,998,21
ADSTOURS SAS,999,21
NETILUM (AFFILAE),1000,21
wetter.com GmbH,1001,21
"Extreme Reach, Inc",1002,21
Mobility-Ads GmbH,1003,21
VUUKLE DMCC,1004,21
Onesoon Limited t/a Adalyser,1006,21
Ketchup Adv Spa,1007,21
Persona.ly,1010,21
Videobyte Inc,1011,21
Glimpse Protocol Limited,1012,21
FUNKE Digital GmbH,1016,21
MUSO TNT LIMITED,1018,21
Adelaide Metrics Inc,1019,21
Baidu USA,1020,21
Ringier Axel Springer Polska sp. z o.o.,1021,21
AdView,1022,21
RDandX Group DMCC,1023,21
THE LINEA 1 MKT SL,1024,21
Realytics,1025,21
crossvertise GmbH,1026,21
BRICKS,1028,21
Skoiy,1030,21
Project Agora Ltd,1032,21
Adlane LTD,1033,21
ONEcount,1034,21
Pressboard Media Inc,1037,21
AA INTERNET-MEDIA Ltd,1038,21
Sonic Odeeo ltd,1039,21
Mars Inc.,1042,21
"Longtail Ad Solutions, Inc dba JW Player",1046,21
OnProspects Ltd,1049,21
optimise-it GmbH,1064,21
"Rockerbox, Inc",232,20
Next Media,429,20
SmartyAds Inc.,534,20
"TrueData Solutions, Inc.",648,20
adnanny.com SLU,809,20
Caroda s.r.o.,954,20
TypeA Holdings Ltd,1043,20
Resono B.V.,1045,20
Viznet,1047,20
Hurra Communications GmbH,1050,20
Playhill Limited,1070,20
Octave IP Limited,1091,20
Telefonica de España S.A.U,1095,20
Telefonica Moviles España S.A.U,1096,20
Spotad,208,19
NOW GmbH,802,19
giosg.com Oy,1017,19
Questpass Sp. z o.o.,1048,19
Samoukale Enterprises Limited dba ADEX,1051,19
Kertil Iberia SL,1052,19
zillian sa,1053,19
Gamesight Inc,1055,19
VOLPI IMMOBILIER,1056,19
ArtChaos s.r.o.,1058,19
Query Click Limited,1059,19
Next Millennium Media INC,1060,19
Evorra Ltd,1062,19
Doceree UK Limited,1063,19
Arpeely Ltd.,1067,19
Italiaonline S.p.A.,1068,19
BCOVERY SAS,1069,19
Adventure Media,1071,19
Adrino Mobile Sp. z o.o.,1072,19
Audiencevalue Pte Ltd,1073,19
Natexo Spain,1074,19
Snigel Web Services Limited,1076,19
INBEV BELGIUM SRL,1077,19
umlaut communication gmbh,1078,19
"PREQUEL INTERNET TRADING LTD. ",1079,19
"CITISERVI EUROPE, S.L.",1080,19
Watch Fantom Inc. AKA CatapultX,1082,19
Seven Technologies S.L.,1083,19
EXADS,1084,19
Njuice AB,1085,19
Hyper LLC,1086,19
CASTOOLA D.O.O.,1087,19
Adomik,1088,19
Teavaro,1089,19
Score Media Group GmbH & Co. KG,1090,19
Telefonica Audiovisual Digital S.L,1092,19
Salestring ApS,1093,19
ADMAX,1094,19
Ein Rad AB,1097,19
"ACTV8, Inc.",1098,19
Unacast Inc.,1099,19
Relevant Digital Oy,1100,19
PIA Advertising GmbH,1101,19
"xAd, Inc. dba GroundTruth",51,18
agof - daily campaign facts,722,18
Adzymic Pte Ltd,723,18
ScaleMonk Inc.,753,18
IP Deutschland GmbH,789,18
1Agency,948,18
Sayollo Media LTD,1102,18
Schober Information Group Deutschland GmbH,1103,18
Covatic Ltd,1104,18
Blue Media Services LTDA,1105,18
Better Ads GmbH,1106,18
Adverline,41,17
"Basis Global Technologies, Inc.",156,17
Audiens S.r.l.,167,17
Audience Trading Platform Ltd.,223,17
Qriously Ltd,250,17
mobalo GmbH,289,17
Orion Semantics,303,17
Bit Q Holdings Limited,439,17
Shopalyst Inc,505,17
Reach Media GmbH,547,17
Happydemics,550,17
Predicio,609,17
Smartme Analytics,653,17
Instreamatic inc.,675,17
Axonix LTD,678,17
MOVIads Sp. z o.o. Sp. k.,743,17
UAB Meazy,757,17
TargetVideo GmbH,786,17
respondi AG,863,17
"Clever Advertising, Lda.",913,17
FRVR Limited,1107,17
Unblockia SL,1108,17
"Goodway Group, Inc.",170,16
SYNC,198,16
ZBO Media,234,16
"Instinctive, Inc.",265,16
Fidelity Media,408,16
"ChannelSight ",520,16
"PaperG, Inc. dba Thunder Industries",543,16
MairDumont Netletix GmbH&amp;CoKG,578,16
GRAPHINIUM,654,16
Cedato Technologies Ltd,672,16
SNAPUPP TECHNOLOGIES SL,694,16
Unmatched Solutions Limited,932,16
"Hindsight Technology Solutions, Inc.",933,16
Goodeed,971,16
Sparklit Networks Inc,977,16
AREIA (ADLOOP),981,16
TV Scientific Inc,1109,16
KÖNIGSTEINER digital GmbH,1110,16
152 Media LLC,1111,16
Delidatax SL,763,15
LEESTEN INC,805,15
Miaozhen Information Technology Co. Ltd,817,15
ZEDO Inc.,818,15
G+J Electronic Media Sales GmbH,823,15
Trinity Audio,837,15
PixFuture Media Inc.,839,15
Mintegral international limited,867,15
"Remixd Media, Inc.",886,15
Addrelevance,906,15
Squared SAS,912,15
Paypersale.ru,914,15
Spotible,917,15
Yandex,1066,15
Impact Tech Inc.,365,14
"Pixalate, Inc.",384,14
Seenthis AB,415,14
HUMAN,431,14
TACTIC™ Real-Time Marketing AS,466,14
SublimeSkinz - Adledge,484,14
Adnami Aps,612,14
Ensighten,853,13
OpenWeb LTD,280,12
Blue Billywig BV,684,12
Kiosked Ltd,751,12
Mobkoi Ltd,898,12
VLYBY Digital GmbH,1009,12
Visarity Technologies GmbH,83,11
Mirando GmbH & Co KG,279,11
Adxperience SAS,746,11
Acxiom,830,11
Brandcom.inc AS,841,11
GeoEdge,845,11
Sirdata Cookieless,916,11
PML Innovative Media,961,11
"EXOCLICK, S.L.",997,11
Aptivio Inc,1008,11
Confiant Inc.,56,10
M32 Connect Inc,75,10
"Mobilewalla, Inc.",581,10
Maximus Live LLC,599,10
VRTCAL Markets Inc,706,10
Oracle Data Cloud - Moat,772,10
"Blockthrough, Inc.",815,10
Jetpack Digital LLC,838,10
IVO Media Ltd,872,10
Impact+,873,10
Online Media Solutions LTD (BDA: Brightcom),883,10
GeoProve,892,10
"Redbranch, Inc dba Fraudlogix",911,10
Fiducia DLT Limited,923,10
Alphalyr SAS,925,10
Silverbullet Data Services Group,927,10
Stream Eye OOD,950,10
adbalancer Werbeagentur GmbH,953,10
Avantis Video Ltd,956,10
Somplo Ltd,1005,10
Velocity Made Good LLC,1013,10
Octaive Ltd.,1014,10
Sqreem Technologies Private Limited,1041,10
TMT Digital Inc,1044,10
Adsonica,1054,10
Botman Networks (P) Ltd,1065,10
AdTiming Technology Company Limited,326,9
Cydersoft,334,7
Effinity,688,7
jsdelivr.com,945,7
SMARTLINE SYSTEMS,949,7
appTV Ltd.,960,7
SmartFrame Technologies,969,7
