app_id,tracker,data_type,transmission_type,platform
vidma.screenrecorder.videorecorder.videoeditor.pro,facebook,carrier,pseudonymously,android
vidma.screenrecorder.videorecorder.videoeditor.pro,facebook,screen_size,pseudonymously,android
vidma.screenrecorder.videorecorder.videoeditor.pro,facebook,os,pseudonymously,android
vidma.screenrecorder.videorecorder.videoeditor.pro,facebook,is_charging,pseudonymously,android
vidma.screenrecorder.videorecorder.videoeditor.pro,facebook,battery_percentage,pseudonymously,android
vidma.screenrecorder.videorecorder.videoeditor.pro,facebook,ram_usage,pseudonymously,android
vidma.screenrecorder.videorecorder.videoeditor.pro,facebook,disk_usage,pseudonymously,android
vidma.screenrecorder.videorecorder.videoeditor.pro,facebook,accelerometer,pseudonymously,android
vidma.screenrecorder.videorecorder.videoeditor.pro,facebook,rotation,pseudonymously,android
vidma.screenrecorder.videorecorder.videoeditor.pro,facebook,language,pseudonymously,android
de.leasingmarkt.app,<indicators>,model,anonymously,android
de.leasingmarkt.app,adjust,app_id,pseudonymously,android
de.leasingmarkt.app,adjust,app_version,pseudonymously,android
de.leasingmarkt.app,adjust,idfa,pseudonymously,android
de.leasingmarkt.app,adjust,other_uuids,pseudonymously,android
de.leasingmarkt.app,adjust,language,pseudonymously,android
de.leasingmarkt.app,adjust,model,pseudonymously,android
de.leasingmarkt.app,adjust,screen_size,pseudonymously,android
de.leasingmarkt.app,adjust,os,pseudonymously,android
de.leasingmarkt.app,adjust,country,pseudonymously,android
com.easybrain.make-music,<indicators>,app_id,anonymously,ios
com.easybrain.make-music,<indicators>,idfa,pseudonymously,ios
la.unum.unum-ios,<indicators>,location,anonymously,ios
la.unum.unum-ios,<indicators>,app_id,anonymously,ios
la.unum.unum-ios,firebase,app_id,pseudonymously,ios
la.unum.unum-ios,firebase,app_version,pseudonymously,ios
la.unum.unum-ios,firebase,os,pseudonymously,ios
la.unum.unum-ios,firebase,idfv,pseudonymously,ios
com.lillydoo.app,adjust,app_id,pseudonymously,ios
com.lillydoo.app,adjust,app_version,pseudonymously,ios
com.lillydoo.app,adjust,idfv,pseudonymously,ios
com.lillydoo.app,adjust,model,pseudonymously,ios
com.lillydoo.app,adjust,os,pseudonymously,ios
com.lillydoo.app,<indicators>,app_id,anonymously,ios
com.lillydoo.app,firebase,app_id,pseudonymously,ios
com.lillydoo.app,firebase,app_version,pseudonymously,ios
com.lillydoo.app,firebase,os,pseudonymously,ios
com.lillydoo.app,firebase,idfv,pseudonymously,ios
dj.mixer.music.pro.sound.effects,<indicators>,model,pseudonymously,android
dj.mixer.music.pro.sound.effects,<indicators>,idfa,pseudonymously,android
dj.mixer.music.pro.sound.effects,<indicators>,app_id,pseudonymously,android
dj.mixer.music.pro.sound.effects,facebook,app_id,pseudonymously,android
dj.mixer.music.pro.sound.effects,facebook,idfa,pseudonymously,android
dj.mixer.music.pro.sound.effects,facebook,other_uuids,pseudonymously,android
dj.mixer.music.pro.sound.effects,facebook,os,pseudonymously,android
dj.mixer.music.pro.sound.effects,facebook,app_version,pseudonymously,android
dj.mixer.music.pro.sound.effects,facebook,model,pseudonymously,android
dj.mixer.music.pro.sound.effects,facebook,emulator,pseudonymously,android
dj.mixer.music.pro.sound.effects,facebook,rooted,pseudonymously,android
dj.mixer.music.pro.sound.effects,facebook,carrier,pseudonymously,android
dj.mixer.music.pro.sound.effects,facebook,screen_size,pseudonymously,android
dj.mixer.music.pro.sound.effects,facebook,is_charging,pseudonymously,android
dj.mixer.music.pro.sound.effects,facebook,battery_percentage,pseudonymously,android
dj.mixer.music.pro.sound.effects,facebook,ram_usage,pseudonymously,android
dj.mixer.music.pro.sound.effects,facebook,disk_usage,pseudonymously,android
dj.mixer.music.pro.sound.effects,facebook,accelerometer,pseudonymously,android
